Date,Time,Party Size,Guest Name,Status,Table,Server,Turn Time (min),Tags
4/21/2026,6:45 PM,4,Brandt Party,Completed,9,Jules,98,
4/21/2026,5:15 PM,4,Hayes Party,Completed,8,Priya,131,
4/21/2026,6:00 PM,2,Brandt Party,Completed,7,Marco,78,
4/21/2026,8:45 PM,2,Garcia Party,Completed,2,Dana,98,Birthday
4/21/2026,6:00 PM,4,Smith Party,Completed,13,Priya,96,Regular
4/21/2026,5:00 PM,3,Nguyen Party,Completed,8,Marco,98,
4/22/2026,7:45 PM,3,Duval Party,Completed,9,Priya,94,
4/22/2026,5:00 PM,4,Nguyen Party,Completed,11,Marco,92,Regular
4/22/2026,7:00 PM,4,Marsh Party,Completed,2,Priya,102,VIP
4/22/2026,7:45 PM,4,Brandt Party,Completed,11,Tom,89,
4/22/2026,9:15 PM,2,Brandt Party,Completed,6,Jules,98,
4/22/2026,6:15 PM,2,Fischer Party,Completed,8,Marco,73,
4/22/2026,9:15 PM,3,Duval Party,Completed,7,Tom,88,
4/23/2026,7:45 PM,3,Ortiz Party,Completed,5,Marco,93,
4/23/2026,7:15 PM,3,Smith Party,Cancelled,2,Tom,,
4/23/2026,7:15 PM,4,Brandt Party,No Show,5,Marco,,Birthday
4/23/2026,8:15 PM,4,Ortiz Party,Completed,5,Tom,88,Regular
4/23/2026,6:45 PM,4,Duval Party,Completed,9,Marco,77,VIP
4/23/2026,6:15 PM,3,Smith Party,No Show,7,Tom,,Window request
4/23/2026,5:15 PM,3,Ortiz Party,Completed,6,Marco,94,Regular
4/23/2026,8:15 PM,2,Kim Party,Completed,7,Jules,104,
4/23/2026,6:30 PM,4,Hayes Party,Completed,9,Marco,108,Regular
4/24/2026,6:15 PM,3,Smith Party,Completed,12,Marco,87,Anniversary
4/24/2026,6:45 PM,2,Brandt Party,Completed,8,Jules,104,
4/24/2026,7:30 PM,4,Kim Party,Completed,6,Marco,93,
4/24/2026,5:45 PM,2,Nguyen Party,Completed,3,Dana,89,Anniversary
4/24/2026,6:30 PM,2,Marsh Party,Completed,1,Dana,122,
4/24/2026,9:30 PM,3,Lee Party,No Show,5,Marco,,VIP
4/24/2026,8:45 PM,3,Ortiz Party,Completed,11,Marco,75,
4/24/2026,8:00 PM,4,Fischer Party,Completed,4,Priya,77,Birthday
4/24/2026,6:30 PM,2,Marsh Party,Completed,5,Tom,103,Window request
4/24/2026,8:00 PM,2,Marsh Party,Cancelled,6,Tom,,VIP
4/24/2026,7:15 PM,2,Ortiz Party,Completed,5,Priya,91,
4/24/2026,6:45 PM,4,Ortiz Party,Completed,9,Dana,118,
4/24/2026,7:45 PM,4,Hayes Party,Completed,12,Dana,85,
4/24/2026,5:30 PM,3,Ortiz Party,Completed,5,Dana,98,Window request
4/24/2026,7:30 PM,3,Nguyen Party,Completed,10,Tom,87,Window request
4/24/2026,6:30 PM,2,Brandt Party,Cancelled,11,Priya,,VIP
4/25/2026,7:15 PM,2,Brandt Party,Completed,2,Priya,92,
4/25/2026,9:15 PM,2,Duval Party,Completed,3,Dana,90,
4/25/2026,5:00 PM,4,Okafor Party,Completed,2,Priya,93,Anniversary
4/25/2026,6:00 PM,2,Duval Party,Completed,3,Marco,91,Window request
4/25/2026,6:45 PM,2,Marsh Party,Completed,9,Jules,83,Anniversary
4/25/2026,7:30 PM,4,Duval Party,Completed,5,Marco,95,Birthday
4/25/2026,7:45 PM,5,Okafor Party,Cancelled,6,Dana,,Anniversary
4/25/2026,5:30 PM,2,Okafor Party,Completed,6,Dana,97,Window request
4/25/2026,7:45 PM,4,Hayes Party,Completed,10,Tom,87,VIP
4/25/2026,6:00 PM,4,Garcia Party,Completed,11,Tom,94,
4/25/2026,5:45 PM,4,Hayes Party,Completed,6,Jules,105,VIP
4/25/2026,6:45 PM,2,Brandt Party,Completed,12,Marco,88,Anniversary
4/25/2026,6:15 PM,2,Smith Party,Completed,7,Tom,83,
4/25/2026,7:45 PM,2,Duval Party,Completed,9,Marco,65,VIP
4/25/2026,7:00 PM,2,Brandt Party,Completed,13,Dana,101,
4/25/2026,7:00 PM,4,Brandt Party,Cancelled,6,Priya,,Anniversary
4/25/2026,8:00 PM,6,Marsh Party,Completed,1,Tom,93,Regular
4/26/2026,9:15 PM,2,Fischer Party,Completed,12,Tom,92,
4/26/2026,7:45 PM,2,Fischer Party,Completed,2,Marco,86,
4/26/2026,6:15 PM,2,Garcia Party,Completed,7,Marco,86,
4/26/2026,8:15 PM,8,Nguyen Party,Completed,9,Tom,106,Birthday
4/26/2026,9:30 PM,2,Duval Party,Completed,5,Dana,93,VIP
4/26/2026,9:45 PM,2,Fischer Party,Completed,1,Tom,105,Window request
4/26/2026,7:30 PM,2,Hayes Party,No Show,11,Tom,,Birthday
4/26/2026,5:45 PM,4,Ortiz Party,Completed,5,Marco,98,
4/26/2026,7:15 PM,3,Garcia Party,Completed,2,Marco,86,VIP
4/26/2026,8:30 PM,2,Duval Party,Completed,1,Marco,85,Anniversary
4/26/2026,7:45 PM,4,Marsh Party,Completed,13,Dana,96,
4/26/2026,7:15 PM,4,Kim Party,No Show,13,Tom,,Birthday
4/28/2026,8:00 PM,4,Kim Party,Completed,5,Priya,79,
4/28/2026,7:15 PM,4,Fischer Party,Completed,6,Marco,94,
4/28/2026,8:15 PM,5,Brandt Party,Completed,7,Priya,100,
4/28/2026,6:15 PM,5,Ortiz Party,Completed,13,Dana,72,Birthday
4/28/2026,7:30 PM,2,Hayes Party,Completed,1,Jules,96,Regular
4/28/2026,7:00 PM,4,Smith Party,Completed,9,Dana,75,Birthday
4/29/2026,5:15 PM,5,Marsh Party,Completed,4,Jules,95,VIP
4/29/2026,5:00 PM,6,Okafor Party,Completed,4,Tom,80,Regular
4/29/2026,5:15 PM,4,Hayes Party,Completed,10,Marco,98,
4/29/2026,8:00 PM,3,Fischer Party,Completed,1,Priya,84,
4/29/2026,5:00 PM,4,Okafor Party,Completed,7,Jules,66,Anniversary
4/29/2026,7:15 PM,5,Hayes Party,Completed,3,Tom,100,Regular
4/29/2026,9:45 PM,4,Fischer Party,Completed,5,Jules,65,Birthday
4/29/2026,8:00 PM,2,Okafor Party,Completed,7,Jules,86,
4/29/2026,7:00 PM,2,Ortiz Party,Cancelled,10,Priya,,
4/30/2026,6:15 PM,4,Nguyen Party,Completed,3,Marco,90,Anniversary
4/30/2026,6:45 PM,8,Ortiz Party,Completed,11,Marco,64,VIP
4/30/2026,5:30 PM,2,Marsh Party,Completed,7,Marco,103,Regular
4/30/2026,9:30 PM,4,Okafor Party,Completed,12,Dana,93,
